Text,Link,PhoneNumber,택배/배송,금전/계좌/송금,이벤트/상품,관공서/기관,인증/인증번호,긴급 알림,청첩장/초대장,명절
[도로공사] 홍길동님 차량단속대상 적발 htt999.com 확인후 빠른처리 요망,1,0,0,0,0,1,0,0,0,0
사랑하는 모친께서 별세하셨으므로 삼가 알려드립니다 장례식장 https://t.Iy/iEtos,1,0,0,0,0,0,0,0,1,0
"""롯데리아""한우불고기세트 사용쿠폰 2매 http://tiny.cc/gool",1,0,0,0,1,0,0,0,0,0
모바일 돌찬치초대장을 보내드렸습니다.참석하여 주시기 바랍니다. http://balca.er/vervvr,1,0,0,0,0,0,0,0,1,0
[한진택배]택배배송불가 *주소*불완전함즉시변경부탁드립니다:<http://nfgh.net/1rq34r2>,1,0,1,0,0,0,0,0,0,0
신호진님 명절 선물로 모바일 상품권을 보내드립니다 확인 바랍니다. http/pblare/nbaBl,1,0,0,0,1,0,0,0,0,0
[보건복지부 지원금 신청 안내]귀하는 국민지원금 신청대상자에 해당되므로 온라인 센터 (http://www.sdrh.gov/23r)에서 지원하시기 바랍니다.,1,0,0,0,0,1,0,0,0,0
"[Web발신][긴급재난지원금] 신용,체크카드 긴급재나지원금 모바일로 간단하게 신정하세요 http://noewm.club/covid-19",1,0,0,0,0,0,0,1,0,0
전염병 발생 마스크 무료로받아가세요.http://sxxxs.xyz/?qhogcd,1,0,0,0,1,0,0,0,0,0
코로나19확진자150명발생환자이동경로는역학조사후확인 http://mxxxt.xyz/ldxxdz,1,0,0,0,0,0,0,1,0,0
[긴급재난자금] 상품권이 도착했읍니다. 확인해주세요.https://bit.ly/3x0Mel,1,0,0,0,1,0,0,1,0,0
7월추가 코로나19재난지원금 wwwcoroona-19.net신청.,1,0,0,0,0,0,0,1,0,0
[배송조회] 9/9 고객주소가잘못되었습니다 택배가 반송되었습니다 배송 주소 수정 uuuu.me/FgMRD7,1,0,1,0,0,0,0,0,0,0
[롯데택배] 추석배송 물량증가로배송이 지연되고 있습니다.배송일정 확인하세요 http://nene.tou/rthslikjg,1,0,1,0,0,0,0,0,0,0
[생활불편신고] 귀하에게민원이 접수되어 통보드립니다.민원확인http://bitly/2Hh9vp9,1,0,0,0,0,1,0,0,0,0
[국제발신] 스미스님 해외인증 4148 USD570$ 결제완료 본인 아닌경우 한국 소비자원 신고 문의:031-952-0786,0,1,0,1,0,0,0,0,0,0
[국제발신] 이원도님 amazon 해외인증:70** USD390$ 구매 본인아닐 경우 소비자보호센터 문의:03137169U26,1,1,0,1,0,0,0,0,0,0
"KB국민카드 05/30 카드대금 978,650원 정상처리 완료 귀하의사용이 아닐 경우 취소요청 바랍니다(1566-1740)방금 수신한 문자메시지는 해외에서 발송되었습니다.",1,1,0,1,0,0,0,0,0,0
[Web발신][*경찰청교통]도로위반 보고서(발송)내용확인 http://plz.fu6k.art,1,0,0,0,0,1,0,0,0,0
[Web발신]지금오시면 이사비지원! 방문도메인 tcc2024.**m,1,0,0,0,1,0,0,0,0,0
[Web발신] 고객님의 인증번호는 9191입니다. 로그인후 money는 고객센터문의~ http://ukk2024.com/,1,0,0,0,0,0,1,0,0,0
[Web발신]고객님의 인증번호는 1819 입니다.http://dmm2024.com/,1,0,0,0,0,0,1,0,0,0
엄마나 이거 주원이 폰인데나급하게80만원이 필요한데좀 보내줘,1,0,0,1,0,0,0,0,0,0
"고객님[관세징수과]입니다.미납관세 863,589원 장기미납되었습니다.법적 강제조치예정<민원센터:1551-4076>",1,1,0,0,0,1,0,0,0,0
[국제발신]고객님[관세청]입니다.해외수입물품중[반입금지품목]확인! 법적제재 대상이오니본인 확인시 문의바랍니다1833-3268,1,1,0,0,0,1,0,0,0,0
